Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,1,histoire,history
1,1,2,chercher,search
4,5,6,aide,help
5,6,7,demande,request
6,7,8,genre,kind
7,8,9,mois,month
8,9,10,frère,brother
9,10,11,laisser,let
10,11,12,car,because
11,12,13,mettre,to put
12,13,14,aucun,no
14,15,16,eux,them
15,16,17,ville,city
16,17,18,chaque,each
17,18,19,parlé,speak
18,19,20,arrivé,come
19,20,21,devrait,should
20,21,22,bébé,baby
21,22,23,longtemps,long time
22,23,24,heures,hours
23,24,25,vont,will
24,25,26,pendant,while
25,26,27,revoir,meet again
26,27,28,aucune,any
27,28,29,place,square
28,29,30,parle,speak
29,30,32,savais,knew
30,31,33,étaient,were
31,32,34,attention,Warning
32,33,35,voici,here is
34,35,37,affaire,case
35,36,38,donner,give
36,37,39,type,type
37,38,41,donné,given
38,39,42,train,train
39,40,43,corps,body
40,41,44,endroit,place
41,42,45,yeux,eyes
42,43,46,façon,way
43,44,47,écoute,listen
44,45,48,dont,whose
45,46,49,trouve,find
46,47,50,premier,first
47,48,51,perdu,lost
49,50,53,première,first
50,51,54,côté,side
51,52,55,pouvoir,power
52,53,56,vieux,old
54,55,58,tiens,here
55,56,60,tellement,so much
56,57,61,enfant,child
57,58,62,point,point
58,59,63,venu,came
59,60,64,suite,after
60,61,65,pardon,sorry
61,62,66,devant,in front of
62,63,67,vers,towards
63,64,68,minutes,minutes
64,65,69,demandé,request
65,66,70,chambre,bedroom
66,67,71,mis,placed
67,68,72,belle,beautiful
69,70,74,aimerais,would like to
70,71,75,aujourd'hui,today
71,72,76,mari,husband
72,73,77,enfin,finally
73,74,78,espère,hope
74,75,79,eau,water
75,76,80,attendez,Wait
76,77,81,parti,left
77,78,82,nouvelle,new
78,79,83,boulot,job
79,80,84,arrêter,Stop
81,82,87,compte,account
82,83,88,donne,given
83,84,89,loin,far
84,85,90,fin,end
85,86,91,croire,believe
86,87,92,chérie,sweetheart
87,88,93,gros,large
88,89,94,plutôt,rather
89,90,95,aura,will have
90,91,96,filles,girls
91,92,98,bureau,office
